customer_id,customer_name,industry,region,created_date,master_status,account_owner
C0001,Company 0001,Healthcare,Midwest,2025-06-16,Active,Riley Foster
C0002,Company 0002,Financial Services,Midwest,2025-05-25,Active,Cameron Gupta
C0003,Company 0003,Manufacturing,Northeast,2025-10-04,Active,Riley Howard
C0004,Company 0004,Technology,West,2026-01-04,Active,Cameron Howard
C0005,Company 0005,Retail,Midwest,2025-08-17,Active,Riley Adams
C0006,Company 0006,Professional Services,Northeast,2025-04-03,Active,Parker Ibrahim
C0007,Company 0007,Retail,Midwest,2025-08-12,Churned,Taylor Foster
C0008,Company 0008,Retail,Southeast,2025-05-14,Churned,Parker Ibrahim
C0009,Company 0009,Retail,Midwest,2025-07-03,Trial,Morgan Howard
C0010,Company 0010,Healthcare,Midwest,2025-07-13,Active,Quinn Ibrahim
C0011,Company 0011,Healthcare,Midwest,2025-05-11,Active,Casey Foster
C0012,Company 0012,Manufacturing,Midwest,2025-01-24,Active,Taylor Adams
C0013,Company 0013,Healthcare,Southeast,2025-06-13,Active,Jordan Gupta
C0014,Company 0014,Healthcare,Southeast,2026-02-17,Active,Jordan Adams
C0015,Company 0015,Manufacturing,Northeast,2025-11-26,Active,Morgan Evans
C0016,Company 0016,Technology,Midwest,2025-05-11,Churned,Parker Jones
C0017,Company 0017,Healthcare,Northeast,2026-04-18,Trial,Morgan Brooks
C0018,Company 0018,Technology,Midwest,2026-02-18,Churned,Reese Ibrahim
C0019,Company 0019,Technology,Midwest,2026-01-28,Active,Taylor Ibrahim
C0020,Company 0020,Financial Services,Northeast,2026-04-10,Active,Quinn Diaz
C0021,Company 0021,Professional Services,Southeast,2025-01-31,Churned,Riley Diaz
C0022,Company 0022,Technology,Southeast,2026-04-02,Active,Parker Brooks
C0023,Company 0023,Financial Services,Midwest,2026-02-27,Active,Casey Gupta
C0024,Company 0024,Professional Services,West,2026-03-22,Trial,Riley Chen
C0025,Company 0025,Technology,West,2025-09-25,Active,Taylor Adams
C0026,Company 0026,Technology,West,2026-04-25,Active,Casey Howard
C0027,Company 0027,Technology,Northeast,2025-10-02,Churned,Jordan Ibrahim
C0028,Company 0028,Financial Services,Midwest,2025-08-13,Active,Parker Gupta
C0029,Company 0029,Healthcare,Southeast,2025-02-09,Active,Taylor Diaz
C0030,Company 0030,Professional Services,Northeast,2025-09-13,Active,Riley Ibrahim
C0031,Company 0031,Retail,Midwest,2025-03-26,Active,Casey Foster
C0032,Company 0032,Financial Services,Midwest,2025-07-20,Active,Quinn Jones
C0033,Company 0033,Retail,Midwest,2025-08-10,Active,Quinn Howard
C0034,Company 0034,Manufacturing,Southeast,2025-11-19,Active,Reese Howard
C0035,Company 0035,Retail,Southeast,2025-01-24,Churned,Cameron Jones
C0036,Company 0036,Retail,Northeast,2026-04-29,Active,Parker Foster
C0037,Company 0037,Technology,West,2025-05-22,Active,Avery Evans
C0038,Company 0038,Healthcare,Northeast,2025-08-28,Active,Riley Evans
C0039,Company 0039,Retail,West,2026-04-22,Active,Parker Brooks
C0040,Company 0040,Healthcare,Northeast,2025-03-15,Active,Quinn Ibrahim
C0041,Company 0041,Professional Services,West,2025-04-15,Trial,Morgan Brooks
C0042,Company 0042,Manufacturing,Southeast,2026-03-11,Active,Reese Chen
C0043,Company 0043,Healthcare,Southeast,2025-07-18,Active,Avery Adams
C0044,Company 0044,Financial Services,West,2025-09-30,Churned,Cameron Chen
C0045,Company 0045,Financial Services,Northeast,2025-06-27,Active,Cameron Chen
C0046,Company 0046,Technology,Southeast,2025-12-25,Active,Parker Diaz
C0047,Company 0047,Retail,Southeast,2025-12-10,Active,Reese Chen
C0048,Company 0048,Retail,Northeast,2025-06-29,Active,Jordan Gupta
C0049,Company 0049,Professional Services,Northeast,2025-01-10,Active,Quinn Gupta
C0050,Company 0050,Healthcare,Southeast,2026-05-06,Active,Quinn Diaz
