lead_id,lead_created_date,lead_source,industry,region,mql_date,qualified_date,converted_customer_id
L00001,2025-07-19,Paid Search,Manufacturing,West,,,
L00002,2025-02-25,Partner,Retail,Midwest,2025-03-03,,
L00003,2025-10-08,Event,Professional Services,West,2025-10-26,2025-11-02,C0082
L00004,2026-03-25,Referral,Retail,Southeast,,,
L00005,2026-03-11,Event,Professional Services,Southeast,2026-03-30,2026-04-09,C0268
L00006,2025-08-20,Paid Search,Manufacturing,West,2025-09-03,2025-09-10,C0205
L00007,2025-10-31,Referral,Professional Services,Southeast,,,
L00008,2025-04-18,Partner,Retail,Southeast,,,
L00009,2026-07-09,Partner,Professional Services,West,2026-07-16,2026-07-27,C0078
L00010,2025-10-19,Partner,Professional Services,Midwest,,,
L00011,2025-10-10,Paid Search,Technology,Southeast,2025-10-21,2025-10-26,C0021
L00012,2026-06-08,Event,Manufacturing,Southeast,2026-06-24,2026-06-18,C0059
L00013,2025-10-23,Outbound,Healthcare,Northeast,,,
L00014,2025-06-29,Outbound,Financial Services,Northeast,2025-07-04,2025-07-10,
L00015,2026-01-21,Paid Search,Professional Services,West,,,
L00016,2025-12-27,Event,Retail,Midwest,2026-01-08,,
L00017,2025-01-06,Organic Search,Technology,Southeast,2025-01-22,2025-01-27,
L00018,2026-04-18,Outbound,Healthcare,Southeast,2026-05-05,2026-05-08,
L00019,2025-12-31,Organic Search,Healthcare,Northeast,2026-01-09,2026-02-04,C0069
L00020,2026-03-07,Outbound,Financial Services,West,2026-03-11,2026-03-15,C0298
L00021,2025-07-10,Event,Professional Services,Northeast,2025-07-15,,
L00022,2025-06-26,Event,Retail,West,,,
L00023,2026-01-12,Partner,Professional Services,West,,,
L00024,2026-04-12,Organic Search,Manufacturing,Northeast,2026-04-15,2026-05-07,C0188
L00025,2025-10-30,Organic Search,Professional Services,Midwest,,,
L00026,2026-06-14,Paid Search,Technology,Northeast,,,
L00027,2025-01-02,Referral,Retail,West,,,
L00028,2025-01-04,Partner,Financial Services,West,2025-01-22,,
L00029,2026-05-27,Referral,Healthcare,Midwest,2026-06-06,2026-06-27,
L00030,2025-02-23,Partner,Manufacturing,Northeast,,,
L00031,2026-03-17,Outbound,Healthcare,West,,,
L00032,2025-08-09,Outbound,Professional Services,Southeast,,,
L00033,2025-09-28,Paid Search,Manufacturing,Midwest,2025-10-14,2025-10-22,
L00034,2025-04-30,Event,Technology,Midwest,,,
