usage_id,customer_id,subscription_id,usage_month,sessions,queries,dashboards_viewed,genie_questions
U00001,C0001,S0001,2025-07-01,0,0,0,0
U00002,C0001,S0001,2025-08-01,8,19,24,14
U00003,C0001,S0001,2025-09-01,3,14,12,5
U00004,C0001,S0001,2025-10-01,6,18,18,6
U00005,C0001,S0001,2025-11-01,3,12,11,1
U00006,C0001,S0001,2025-12-01,7,32,31,13
U00007,C0001,S0001,2026-01-01,5,21,6,9
U00008,C0001,S0001,2026-02-01,10,87,36,19
U00009,C0001,S0001,2026-03-01,11,34,28,21
U00010,C0001,S0001,2026-04-01,9,53,43,3
U00011,C0001,S0001,2026-05-01,10,22,19,13
U00012,C0001,S0001,2026-06-01,10,41,48,17
U00013,C0001,S0001,2026-07-01,4,25,19,6
U00014,C0002,S0002,2025-07-01,26,243,123,17
U00015,C0002,S0002,2025-08-01,26,173,126,18
U00016,C0002,S0002,2025-09-01,30,120,42,44
U00017,C0002,S0002,2025-10-01,18,75,54,7
U00018,C0002,S0002,2025-11-01,13,37,59,17
U00019,C0002,S0002,2025-12-01,17,123,37,16
U00020,C0002,S0002,2026-01-01,14,68,35,8
U00021,C0002,S0002,2026-02-01,5,46,8,1
U00022,C0002,S0002,2026-03-01,8,19,20,14
U00023,C0002,S0002,2026-04-01,20,177,26,40
U00024,C0002,S0002,2026-05-01,21,121,57,16
U00025,C0002,S0002,2026-06-01,35,346,99,23
U00026,C0002,S0002,2026-07-01,20,124,71,35
U00027,C0003,S0003,2025-10-01,10,67,47,9
U00028,C0003,S0003,2025-11-01,9,87,39,15
U00029,C0003,S0003,2025-12-01,9,65,12,4
U00030,C0003,S0003,2026-01-01,4,26,10,6
U00031,C0003,S0003,2026-02-01,7,61,34,9
U00032,C0003,S0003,2026-03-01,6,31,13,3
U00033,C0003,S0003,2026-04-01,4,35,16,4
U00034,C0003,S0003,2026-05-01,0,0,0,0
U00035,C0003,S0003,2026-06-01,0,0,0,0
U00036,C0003,S0003,2026-07-01,8,22,39,8
U00037,C0004,S0004,2026-01-01,10,88,13,18
U00038,C0004,S0004,2026-02-01,5,23,10,2
U00039,C0004,S0004,2026-03-01,10,25,39,6
U00040,C0004,S0004,2026-04-01,5,17,9,6
U00041,C0004,S0004,2026-05-01,0,0,0,0
U00042,C0004,S0004,2026-06-01,9,85,31,2
U00043,C0004,S0004,2026-07-01,9,22,26,16
U00044,C0005,S0005,2025-08-01,32,286,92,12
U00045,C0005,S0005,2025-09-01,21,95,65,4
U00046,C0005,S0005,2025-10-01,85,340,415,93
U00047,C0005,S0005,2025-11-01,0,0,0,0
U00048,C0005,S0005,2025-12-01,45,189,183,80
U00049,C0005,S0005,2026-01-01,87,698,97,35
U00050,C0005,S0005,2026-02-01,85,442,265,56
U00051,C0005,S0005,2026-03-01,87,431,161,155
U00052,C0005,S0005,2026-04-01,36,274,99,56
U00053,C0005,S0005,2026-05-01,47,453,126,43
U00054,C0005,S0005,2026-06-01,61,359,246,32
U00055,C0005,S0005,2026-07-01,75,398,86,70
U00056,C0006,S0006,2025-05-01,57,272,79,48
U00057,C0006,S0006,2025-06-01,36,358,134,50
U00058,C0006,S0006,2025-07-01,58,315,70,19
U00059,C0006,S0006,2025-08-01,58,135,133,15
U00060,C0006,S0006,2025-09-01,42,111,109,27
U00061,C0006,S0006,2025-10-01,36,198,162,26
U00062,C0006,S0006,2025-11-01,72,519,87,133
U00063,C0006,S0006,2025-12-01,21,95,71,41
U00064,C0006,S0006,2026-01-01,35,181,123,52
U00065,C0006,S0006,2026-02-01,49,340,188,25
U00066,C0006,S0006,2026-03-01,78,350,322,71
U00067,C0006,S0006,2026-04-01,26,238,31,15
U00068,C0006,S0006,2026-05-01,66,589,182,70
U00069,C0006,S0006,2026-06-01,20,68,79,17
U00070,C0006,S0006,2026-07-01,54,141,59,76
U00071,C0007,S0007,2025-08-01,19,108,48,34
U00072,C0007,S0007,2025-09-01,35,265,63,14
U00073,C0007,S0007,2025-10-01,6,47,9,7
U00074,C0007,S0007,2025-11-01,20,135,63,35
U00075,C0007,S0007,2025-12-01,31,64,64,43
U00076,C0007,S0007,2026-01-01,11,38,43,4
U00077,C0007,S0007,2026-02-01,15,101,30,18
U00078,C0007,S0007,2026-03-01,12,39,60,16
U00079,C0008,S0008,2025-06-01,3,14,7,5
U00080,C0008,S0008,2025-07-01,6,21,17,8
U00081,C0008,S0008,2025-08-01,5,47,14,1
U00082,C0008,S0008,2025-09-01,4,15,18,1
U00083,C0008,S0008,2025-10-01,5,41,16,5
U00084,C0008,S0008,2025-11-01,11,101,25,20
U00085,C0008,S0008,2025-12-01,0,0,0,0
U00086,C0008,S0008,2026-01-01,4,32,14,1
U00087,C0008,S0008,2026-02-01,3,15,13,3
U00088,C0008,S0008,2026-03-01,6,35,21,5
U00089,C0008,S0008,2026-04-01,9,45,39,7
U00090,C0009,S0009,2025-07-01,2,14,6,0
U00091,C0009,S0009,2025-08-01,2,17,8,2
U00092,C0009,S0009,2025-09-01,5,32,10,7
U00093,C0009,S0009,2025-10-01,1,3,5,2
U00094,C0009,S0009,2025-11-01,2,14,9,1
U00095,C0009,S0009,2025-12-01,4,18,13,3
U00096,C0009,S0009,2026-01-01,2,9,6,1
U00097,C0009,S0009,2026-02-01,5,12,24,2
U00098,C0009,S0009,2026-03-01,1,4,3,2
U00099,C0009,S0009,2026-04-01,3,21,4,1
U00100,C0009,S0009,2026-05-01,3,7,4,5
U00101,C0009,S0009,2026-06-01,4,9,15,3
U00102,C0009,S0009,2026-07-01,4,9,6,1
U00103,C0010,S0010,2025-07-01,5,35,14,2
U00104,C0010,S0010,2025-08-01,3,26,10,1
U00105,C0010,S0010,2025-09-01,8,41,22,9
U00106,C0010,S0010,2025-10-01,10,42,16,7
U00107,C0010,S0010,2025-11-01,11,41,13,15
U00108,C0010,S0010,2025-12-01,5,35,16,1
U00109,C0010,S0010,2026-01-01,5,13,9,6
U00110,C0010,S0010,2026-02-01,11,39,20,14
U00111,C0010,S0010,2026-03-01,3,18,11,2
U00112,C0010,S0010,2026-04-01,0,0,0,0
U00113,C0010,S0010,2026-05-01,4,17,16,4
U00114,C0010,S0010,2026-06-01,9,73,35,2
U00115,C0010,S0010,2026-07-01,4,18,13,2
U00116,C0011,S0011,2025-06-01,23,191,76,22
U00117,C0011,S0011,2025-07-01,16,153,27,13
U00118,C0011,S0011,2025-08-01,8,23,26,7
U00119,C0011,S0011,2025-09-01,30,123,110,58
U00120,C0011,S0011,2025-10-01,16,55,50,4
U00121,C0011,S0011,2025-11-01,12,45,52,13
U00122,C0011,S0011,2025-12-01,22,122,55,35
U00123,C0011,S0011,2026-01-01,16,108,72,5
U00124,C0011,S0011,2026-02-01,16,71,71,6
U00125,C0011,S0011,2026-03-01,23,150,45,6
U00126,C0011,S0011,2026-04-01,28,83,36,52
U00127,C0011,S0011,2026-05-01,23,159,58,38
U00128,C0011,S0011,2026-06-01,0,0,0,0
U00129,C0011,S0011,2026-07-01,10,97,13,4
U00130,C0012,S0012,2025-02-01,9,56,19,16
U00131,C0012,S0012,2025-03-01,11,70,52,7
U00132,C0012,S0012,2025-04-01,10,37,24,8
U00133,C0012,S0012,2025-05-01,4,29,19,1
U00134,C0012,S0012,2025-06-01,8,64,16,8
U00135,C0012,S0012,2025-07-01,9,75,25,8
U00136,C0012,S0012,2025-08-01,3,14,14,1
U00137,C0012,S0012,2025-09-01,8,38,40,4
U00138,C0012,S0012,2025-10-01,11,38,53,6
U00139,C0012,S0012,2025-11-01,4,19,11,1
U00140,C0012,S0012,2025-12-01,5,16,13,5
U00141,C0012,S0012,2026-01-01,7,41,31,4
U00142,C0012,S0012,2026-02-01,11,72,17,11
U00143,C0012,S0012,2026-03-01,7,41,16,3
U00144,C0012,S0012,2026-04-01,4,30,14,5
U00145,C0012,S0012,2026-05-01,3,18,10,2
