subscription_id,customer_id,plan_name,monthly_recurring_revenue,subscription_start_date,churn_date,subscription_status,billing_frequency
S0001,C0001,Starter,900,7/17/2025,,Active,Annual
S0002,C0002,Growth,2400,7/5/2025,,Active,Monthly
S0003,C0003,Starter,900,10/28/2025,,Active,Monthly
S0004,C0004,Starter,900,1/22/2026,,Active,Annual
S0005,C0005,Enterprise,6200,8/25/2025,,Active,Monthly
S0006,C0006,Enterprise,6200,5/4/2025,,Active,Monthly
S0007,C0007,Growth,2400,8/28/2025,3/30/2026,Churned,Monthly
S0008,C0008,Starter,900,6/18/2025,4/24/2026,Churned,Monthly
S0009,C0009,Growth,2400,7/20/2025,,Trial,Monthly
S0010,C0010,Starter,900,7/22/2025,,Active,Monthly
S0011,C0011,Growth,2400,6/11/2025,,Active,Monthly
S0012,C0012,Starter,900,2/22/2025,,Active,Monthly
S0013,C0013,Starter,900,7/21/2025,,Active,Monthly
S0014,C0014,Growth,2400,3/1/2026,,Active,Annual
S0015,C0015,Growth,2400,12/23/2025,,Active,Monthly
S0016,C0016,Starter,900,5/21/2025,7/10/2026,Churned,Monthly
S0017,C0017,Starter,900,5/17/2026,,Trial,Monthly
S0018,C0018,Growth,2400,3/1/2026,6/11/2026,Churned,Annual
S0019,C0019,Starter,900,2/16/2026,,Active,Monthly
S0020,C0020,Starter,900,4/24/2026,,Active,Monthly
S0021,C0021,Growth,2400,2/20/2025,9/14/2025,Churned,Monthly
S0022,C0022,Starter,900,4/22/2026,,Active,Monthly
S0023,C0023,Growth,2400,4/4/2026,,Active,Monthly
S0024,C0024,Growth,2400,4/18/2026,,Trial,Annual
S0025,C0025,Starter,900,10/22/2025,,Active,Monthly
S0026,C0026,Starter,900,6/3/2026,,Active,Monthly
S0027,C0027,Starter,900,10/30/2025,5/21/2026,Churned,Monthly
S0028,C0028,Starter,900,9/15/2025,,Active,Monthly
S0029,C0029,Starter,900,3/18/2025,,Active,Monthly
S0030,C0030,Enterprise,6200,10/6/2025,,Active,Monthly
S0031,C0031,Starter,900,4/23/2025,,Active,Monthly
S0032,C0032,Starter,900,8/16/2025,,Active,Annual
S0033,C0033,Starter,900,9/10/2025,,Active,Monthly
S0034,C0034,Starter,900,12/6/2025,,Active,Monthly
S0035,C0035,Starter,900,3/6/2025,12/4/2025,Churned,Monthly
S0036,C0036,Growth,2400,5/31/2026,,Active,Monthly
S0037,C0037,Starter,900,6/6/2025,,Active,Annual
S0038,C0038,Enterprise,6200,9/30/2025,,Active,Monthly
S0039,C0039,Starter,900,5/9/2026,,Active,Annual
S0040,C0040,Enterprise,6200,3/29/2025,,Active,Monthly
S0041,C0041,Growth,2400,5/11/2025,,Trial,Monthly
S0042,C0042,Starter,900,4/11/2026,,Active,Monthly
S0043,C0043,Starter,900,8/26/2025,,Active,Monthly
S0044,C0044,Growth,2400,10/25/2025,2/25/2026,Churned,Monthly
S0045,C0045,Starter,900,7/7/2025,,Active,Monthly
S0046,C0046,Starter,900,2/3/2026,,Active,Annual
S0047,C0047,Growth,2400,12/19/2025,,Active,Annual
S0048,C0048,Starter,900,7/29/2025,,Active,Monthly
S0049,C0049,Enterprise,6200,2/10/2025,,Active,Monthly
S0050,C0050,Growth,2400,6/6/2026,7/29/2027,Active,Annual
S0051,C0051,Starter,900,9/8/2025,,Active,Monthly
S0052,C0052,Enterprise,6200,2/4/2026,,Active,Monthly
